Document Title,Policy subpart,Source,Payer,Plan Bucket,PBM,Plan Types,States,Number of States,Plan Types and States,Document Type,Categories,Link to Policy/Formulary PDF,Link to Revision History,Policy Identifier,Link to PDF Formulary (Broken),Policy Last Updated,Status,Review date,Next review date (payer defined),Next review date (est.), Medical Covered Lives,Plan Type(s),CGMs Covered,Device Type Covered (from CGMs Covered),CGMs Preferred,Device Type Preferred (from CGMs Preferred),AIDs Covered,AIDs Preferred,CGM Coverage/Distribution Path,Diabetes Diagnosis,Multiple insulin injections daily or insulin pump use,Inadequate glycemic control,Episodes of hyperglycemia,Episodes of hypoglycemia,Hypoglycemia unawareness,Demonstrated understanding of and willingness to use technology,Age criteria,Self monitoring of glucose levels,Reference to clinical treatment guidelines,Compatability override,Replacement criteria,Renewal criteria,Policy includes coding recommendations,Summary of criteria,Review Complete,Sensor quantity limit,Review Comments,CHIR Review Fields Last Modified,AIDs Excluded,CGMs Excluded,Device Type Excluded,UM Prior Auth.,UM Step Therapy,UM QL,PA approval length,Clinical guideline or PA vendor referenced,Policy document is used by other focus payers (check all),Policy document is used by other commercial payers (list all),Policy document is used by at least one Medicaid MCO,uuid_formula,airtable_uuid
Observation Services,,Policy Database,Anthem,,,Commercial,NY,1,Commercial: [NY],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Observation Services Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=216390&updateid=4195085,https://portal.policyreporter.com/policy-updates/216390,291258,,3/23/2024,Active,3/23/2024,,3/23/2025,216427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecti9hfC3QAmq9Pn-291258-NYObservation Ser,recti9hfC3QAmq9Pn
Review at Launch Medication List (Individual Exchange),,Policy Database,United Healthcare,,,Commercial,"AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA",22,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA]",Medical Policy,"[""Administrative Documents->Pharmacy Coverage Admin->New To Market Drugs""]",https://portal.policyreporter.com/geturlupdate.php?urlid=291366&updateid=4902329,https://portal.policyreporter.com/policy-updates/291366,291366,,5/17/2025,Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecqxOJoNG4XIKoRo-291366-AZReview at Launc,recqxOJoNG4XIKoRo
"Habilitative and Rehabilitative Services, Professional & Facility (Individual Exchange)",,Policy Database,United Healthcare,,,Commercial,"AZ,DC,FL,KY,MO,MS,NC,NE,OK,PA,TN,VA",12,"Commercial: [AZ,DC,FL,KY,MO,MS,NC,NE,OK,PA,TN,VA]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Rehabilitative Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=291518&updateid=4236985,https://portal.policyreporter.com/policy-updates/291518,291518,,4/14/2024,Active,4/14/2024,,4/14/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecownP8tVk5XLFgt-291518-AZHabilitative an,recownP8tVk5XLFgt
Medical Benefit Therapeutic Equivalent Medications - Excluded Drugs (Commercial),,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,WA,WI,WV,WY",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Pharmaceutical Policy,"[""Administrative Documents->Pharmacy Coverage Admin""]",https://portal.policyreporter.com/geturlupdate.php?urlid=292272&updateid=4531227,https://portal.policyreporter.com/policy-updates/292272,292272,,10/3/2024,Active,10/1/2024,,10/1/2025,7618992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrectYGvMxzGisq7mS-292272-AKMedical Benefit,rectYGvMxzGisq7mS
Northwest Medical Benefit Formulary (Commercial) (OR) (WA),,Formulary Database,Kaiser Permanente,,Kaiser Permanente,Health Plan,"OR,WA",2,"Health Plan: [OR,WA]",Formulary,,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/nw/medical-benefit-formulary-nw-en.pdf,https://portal.policyreporter.com/policy-updates/292702,292702,https://portal.policyreporter.com/geturlupdate.php?urlid=%1292702&updateid=%24874100,5/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecveMsMS2GaWSWFT-292702-ORNorthwest Medic,recveMsMS2GaWSWFT
Northwest Medical Benefit Formulary (Commercial) (OR) (WA),,Formulary Database,Kaiser Permanente,,MedImpact Healthcare Systems Inc.,Health Plan,"OR,WA",2,"Health Plan: [OR,WA]",Formulary,,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/nw/medical-benefit-formulary-nw-en.pdf,https://portal.policyreporter.com/policy-updates/292702,292702,https://portal.policyreporter.com/geturlupdate.php?urlid=%1292702&updateid=%24874100,5/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecA4eSpAQGPGNHZe-292702-ORNorthwest Medic,recA4eSpAQGPGNHZe
Northwest Medical Benefit Formulary (Commercial) (OR) (WA),,Formulary Database,Kaiser Permanente,,OptumRx,Health Plan,"OR,WA",2,"Health Plan: [OR,WA]",Formulary,,https://healthy.kaiserpermanente.org/content/dam/kporg/final/documents/formularies/nw/medical-benefit-formulary-nw-en.pdf,https://portal.policyreporter.com/policy-updates/292702,292702,https://portal.policyreporter.com/geturlupdate.php?urlid=%1292702&updateid=%24874100,5/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrechROk4FFYbq2ACh-292702-ORNorthwest Medic,rechROk4FFYbq2ACh
Rapid to Intermediate Acting Insulin (Commercial),,Policy Database,BCBS Illinois,,,"Commercial,Managed Medicaid",IL,1,"Commercial: [IL],Managed Medicaid: [IL]","Prior Authorization (PA) Criteria,Quantity Limit (QL) Criteria","[""Pharmaceuticals->Diabetes Agents->Insulins and Insulin Analogues""]",https://portal.policyreporter.com/geturlupdate.php?urlid=292727&updateid=4858285,https://portal.policyreporter.com/policy-updates/292727,292727,,4/17/2025,Active,4/15/2025,,4/15/2026,1844563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecdFwFhuU36ZkqMh-292727-ILRapid to Interm,recdFwFhuU36ZkqMh
Rapid to Intermediate Acting Insulin (Commercial),,Policy Database,BCBS Texas,,,"Commercial,Managed Medicaid",TX,1,"Commercial: [TX],Managed Medicaid: [TX]","Prior Authorization (PA) Criteria,Quantity Limit (QL) Criteria","[""Pharmaceuticals->Diabetes Agents->Insulins and Insulin Analogues""]",https://portal.policyreporter.com/geturlupdate.php?urlid=292727&updateid=4858285,https://portal.policyreporter.com/policy-updates/292727,292727,,4/17/2025,Active,4/15/2025,,4/15/2026,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecF80KaI71YIb2Dt-292727-TXRapid to Interm,recF80KaI71YIb2Dt
Reimbursement Policy Updates (Individual and Family Plan),,Policy Database,United Healthcare,,,Commercial,"AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA",22,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA]",News & Announcements,"[""Administrative Documents->Provider News->General Interest Provider Bulletins->Billing Bulletins""]",https://portal.policyreporter.com/geturlupdate.php?urlid=293062&updateid=4874687,https://portal.policyreporter.com/policy-updates/293062,293062,,5/1/2025,Active,5/1/2025,,6/1/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreclDJZ2qCWcwiD9g-293062-AZReimbursement P,reclDJZ2qCWcwiD9g
"Assistant at Surgery (Modifiers 80, 81, 82, AS) (Commercial)",,Policy Database,Anthem,,,Commercial,NY,1,Commercial: [NY],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Modifiers Billing->Assistant Surgeon Modifiers Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=293108&updateid=4200592,https://portal.policyreporter.com/policy-updates/293108,293108,,3/27/2024,Active,3/27/2024,,3/27/2025,216427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecgKxauSVN2vZC2l-293108-NYAssistant at Su,recgKxauSVN2vZC2l
Maternity and Newborn Care (West CA),,Policy Database,United Healthcare,,,Commercial,CA,1,Commercial: [CA],Medical Policy,"[""Payment Policies->Point of Service Billing->OB\/GYN and Neonatal Care Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=293494&updateid=4830693,https://portal.policyreporter.com/policy-updates/293494,293494,,4/1/2025,Pending,,,5/1/2026,716162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecruxxxsBkRD2Ht4-293494-CAMaternity and N,recruxxxsBkRD2Ht4
"Physician Services for Primary Care and Specialist Visits (West OR, OK, TX, and WA)",,Policy Database,United Healthcare,,,Commercial,"OK,OR,TX,WA",4,"Commercial: [OK,TX,WA,OR]",Medical Policy,"[""Payment Policies->Billing Policies->Evaluation Management Billing->Prolonged Services E&M""]",https://portal.policyreporter.com/geturlupdate.php?urlid=293496&updateid=4830696,https://portal.policyreporter.com/policy-updates/293496,293496,,4/1/2025,Pending,,,5/1/2026,262075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecD7HHdXtG8fTakC-293496-OKPhysician Servi,recD7HHdXtG8fTakC
"After Hours, Emergency, and Miscellaneous E/M Services (CA Medicare)",,Policy Database,Anthem,,,Commercial,CA,1,Commercial: [CA],Reimbursement & Billing Document,"[""Payment Policies->Point of Service Billing->Specialized Care Services->After Hours Care""]",https://portal.policyreporter.com/geturlupdate.php?urlid=293630&updateid=4213579,https://portal.policyreporter.com/policy-updates/293630,293630,,4/2/2024,Pending,4/1/2024,,4/1/2025,1915925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHIR_IDrecXY6mTH8QQw4v1T-293630-CAAfter Hours, Em",recXY6mTH8QQw4v1T
Ambulance Transportation (CA Medicare),,Policy Database,Anthem,,,Commercial,CA,1,Commercial: [CA],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Hospital Services Billing->Ambulance Payment""]",https://portal.policyreporter.com/geturlupdate.php?urlid=293631&updateid=3077485,https://portal.policyreporter.com/policy-updates/293631,293631,,5/7/2022,Active,,,,1915925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec9av4mxUWTWttpy-293631-CAAmbulance Trans,rec9av4mxUWTWttpy
Claim Review Form,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Review Form,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Claims Auditing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=293875&updateid=4020167,https://portal.policyreporter.com/policy-updates/293875,293875,,12/26/2023,Active,12/26/2023,,12/26/2024,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecH8r6Q3ehLObQ0Y-293875-TXClaim Review Fo,recH8r6Q3ehLObQ0Y
Additional Information Form (Commercial),,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Review Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294291&updateid=3939827,https://portal.policyreporter.com/policy-updates/294291,294291,,11/16/2023,Active,10/1/2023,,10/1/2024,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecTFHBU0cLywmQL8-294291-TXAdditional Info,recTFHBU0cLywmQL8
Coordination of Care,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Review Form,"[""Payment Policies->Billing Policies->Payment Procedures Billing->Coordination Of Benefits Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294301&updateid=3104212,https://portal.policyreporter.com/policy-updates/294301,294292,,5/27/2022,Active,3/12/2015,,,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecOQ2ZOorc3LWoEI-294292-TXCoordination of,recOQ2ZOorc3LWoEI
Hospital Coverage Letter,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Review Form,"[""Payment Policies->Billing Policies->Hospital Services Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294295&updateid=3104174,https://portal.policyreporter.com/policy-updates/294295,294295,,5/27/2022,Active,10/19/2016,,,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecQ40q246CX9KLZ3-294295-TXHospital Covera,recQ40q246CX9KLZ3
Out-of-Network Enrollee Notification Form for Non-Regulated Business,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Notification Form,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Out-of-Network\/Out-of-Area Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294297&updateid=4231530,https://portal.policyreporter.com/policy-updates/294297,294297,,4/10/2024,Active,4/8/2024,,4/8/2025,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecAMMTjCUHyd3Pn0-294297-TXOut-of-Network ,recAMMTjCUHyd3Pn0
Out-of-Network Enrollee Notification Form for Regulated Business,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Notification Form,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Out-of-Network\/Out-of-Area Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294300&updateid=4231529,https://portal.policyreporter.com/policy-updates/294300,294300,,4/10/2024,Active,4/10/2024,,4/10/2025,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecT4kkngqmfqdkYG-294300-TXOut-of-Network ,recT4kkngqmfqdkYG
Coordination of Benefits,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Order Form,"[""Payment Policies->Billing Policies->Payment Procedures Billing->Coordination Of Benefits Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294293&updateid=3104159,https://portal.policyreporter.com/policy-updates/294293,294301,,5/27/2022,Active,10/20/2020,,,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecMIJjmwYG99oV5n-294301-TXCoordination of,recMIJjmwYG99oV5n
Room Rate Update,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Notification Form,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Hospital Reimbursement Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294302&updateid=4602786,https://portal.policyreporter.com/policy-updates/294302,294302,,11/7/2024,Active,11/6/2024,,11/6/2025,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrectFSZlLTq7UrkN6-294302-TXRoom Rate Updat,rectFSZlLTq7UrkN6
Provider Refund Form,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Review Form,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294305&updateid=4667913,https://portal.policyreporter.com/policy-updates/294305,294305,,12/18/2024,Active,12/1/2024,,12/1/2025,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecs1CgZWaN4grX5E-294305-TXProvider Refund,recs1CgZWaN4grX5E
Health Care Services,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Prior Authorization (PA) Form,"[""Prior Authorization->PA Forms""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294322&updateid=3104333,https://portal.policyreporter.com/policy-updates/294322,294322,,5/27/2022,Active,4/16/2015,,,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec7yaubAHpSxt02D-294322-TXHealth Care Ser,rec7yaubAHpSxt02D
Specialty Pharmacy,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Enrollment Form,"[""Administrative Documents->Pharmacy Coverage Admin->Specialty Drug Coverage""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294324&updateid=3104388,https://portal.policyreporter.com/policy-updates/294324,294324,,5/27/2022,Active,7/14/2020,,,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecQxSJhrjKpKqeCg-294324-TXSpecialty Pharm,recQxSJhrjKpKqeCg
Intensive Outpatient Program (IOP) Request,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Order Form,"[""Payment Policies->Point of Service Billing->Specialized Care Services->Hospital Outpatient Services""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294328&updateid=3735339,https://portal.policyreporter.com/policy-updates/294328,294328,,8/16/2023,Active,9/1/2020,,9/1/2021,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecUtBJJcvcEYyb9m-294328-TXIntensive Outpa,recUtBJJcvcEYyb9m
Verification Of Benefits Processing,,Policy Database,BCBS Texas,,,Commercial,TX,1,Commercial: [TX],Supporting Coverage Document,"[""Payment Policies->Payer Resources->Provider Manual""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294330&updateid=4300400,https://portal.policyreporter.com/policy-updates/294330,294330,,5/21/2024,Active,5/21/2024,,5/21/2025,3082726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreck1jF9p72CAUfse-294330-TXVerification Of,reck1jF9p72CAUfse
"Therapeutic, Prophylactic and Diagnostic Injection and Infusion Administration Coding",,Policy Database,BCBS Illinois,,,Commercial,IL,1,Commercial: [IL],Reimbursement & Billing Document,"[""Administrative Documents->Pharmacy Coverage Admin->Site of Care for Drugs->Infusion Drugs Site of Care"",""Administrative Documents->Pharmacy Coverage Admin->Site of Care for Drugs->Injectable Drugs Site of Care"",""Transplant and Transfusion->Fluid Replacement->Hydration Therapy""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294385&updateid=4445008,https://portal.policyreporter.com/policy-updates/294385,294385,,8/21/2024,Active,7/30/2024,,7/30/2025,1844563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHIR_IDrecSAjL5avQHjmcEu-294385-ILTherapeutic, Pr",recSAjL5avQHjmcEu
Unlisted/Not Otherwise Classified (NOC) Coding,,Policy Database,BCBS Illinois,,,Commercial,IL,1,Commercial: [IL],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Reimbursement Procedures Billing->Unlisted Procedure Reimbursement""]",https://portal.policyreporter.com/geturlupdate.php?urlid=294386&updateid=4519434,https://portal.policyreporter.com/policy-updates/294386,294386,,9/27/2024,Active,8/15/2024,,8/15/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecveUuGJGS2l5sQy-294386-ILUnlisted/Not Ot,recveUuGJGS2l5sQy
Omnipod 5 (Medical Necessity),,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,WA,WI,WV,WY",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Prior Authorization (PA) Criteria,"[""Medical Supplies->Diabetic Supplies->Disposable Insulin Delivery Devices->Disposable External Insulin Delivery System"",""Medical Supplies->Diabetic Supplies->Insulin Pumps""]",https://portal.policyreporter.com/geturlupdate.php?urlid=295838&updateid=4750754,https://portal.policyreporter.com/policy-updates/295838,295838,,2/2/2025,Active,2/1/2025,,2/1/2026,7618992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecB5Q4ToatryfaPI-295838-AKOmnipod 5 (Medi,recB5Q4ToatryfaPI
Omnipod 5 (Notification),,Policy Database,United Healthcare,,,Commercial,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VI,WA,WI,WV,WY",50,"Commercial: [AZ,CO,DC,FL,IL,KS,KY,MA,MD,MO,MS,NC,NE,NJ,NV,OK,PA,SC,TN,TX,VA,WA,AK,AL,AR,CA,CT,DE,GA,ID,IN,LA,ME,MI,MN,NH,NM,NY,OH,OR,RI,UT,VI,WI,WV,WY,HI,IA,MT,SD]",Prior Authorization (PA) Criteria,"[""Medical Supplies->Diabetic Supplies->Disposable Insulin Delivery Devices->Disposable External Insulin Delivery System"",""Medical Supplies->Diabetic Supplies->Insulin Pumps""]",https://portal.policyreporter.com/geturlupdate.php?urlid=295839&updateid=4448040,https://portal.policyreporter.com/policy-updates/295839,295839,,8/23/2024,Pending,,,9/1/2025,7618992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecyZh5M2ekBK707o-295839-AKOmnipod 5 (Noti,recyZh5M2ekBK707o
Modifier Reference,,Policy Database,BCBS Illinois,,,"Commercial,Medicare Advantage",IL,1,"Commercial: [IL],Medicare Advantage: [IL]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Modifiers Billing""]",https://portal.policyreporter.com/geturlupdate.php?urlid=295907&updateid=4176740,https://portal.policyreporter.com/policy-updates/295907,295907,,3/13/2024,Active,1/12/2024,,1/12/2025,1844563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecNgVYvkL5bzs1EN-295907-ILModifier Refere,recNgVYvkL5bzs1EN
New-To-Market Program for Medical Benefit Medications (Commercial),,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Pharmaceutical Policy,"[""Administrative Documents->Pharmacy Coverage Admin->New To Market Drugs""]",https://portal.policyreporter.com/geturlupdate.php?urlid=296736&updateid=4901451,https://portal.policyreporter.com/policy-updates/296736,296736,,5/16/2025,Active,,,,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecNfmXIyzxZwzKiq-296736-FLNew-To-Market P,recNfmXIyzxZwzKiq
Designated Medical Specialty Pharmacy Drug List,,Formulary Database,Anthem,,CarelonRx,Health Plan,"AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY",51,"Health Plan: [AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY]",Formulary,,https://www.anthem.com/ms/pharmacyinformation/Designated-Medical-Specialty-Pharmacy-Drug-List-eff-07012022-AnthemBCBS.pdf,https://portal.policyreporter.com/policy-updates/298259,298259,https://portal.policyreporter.com/geturlupdate.php?urlid=%1298259&updateid=%24287148,5/14/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDreckzX6GMfUNJm7og-298259-AKDesignated Medi,reckzX6GMfUNJm7og
Provider-Administered Specialty Medications,,Policy Database,Florida Blue,,,Commercial,FL,1,Commercial: [FL],Drug Administrative Document,"[""Administrative Documents->Pharmacy Coverage Admin""]",https://portal.policyreporter.com/geturlupdate.php?urlid=298422&updateid=4836781,https://portal.policyreporter.com/policy-updates/298422,298422,,4/3/2025,Active,4/1/2025,,4/1/2026,2099726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecFt2aYsq8jpJaJw-298422-FLProvider-Admini,recFt2aYsq8jpJaJw
Part B Step Therapy Drug List (NY Health Plan),,Formulary Database,Anthem,,CarelonRx,Health Plan,NY,1,Health Plan: [NY],Formulary,,https://shop.anthem.com/medicare/docs/2025_STEP_THERAPY_PARTB.pdf?v=202410161554,https://portal.policyreporter.com/policy-updates/298714,298714,https://portal.policyreporter.com/geturlupdate.php?urlid=%1298714&updateid=%24801401,3/9/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrec0E1CQQ9ZO26JpN-298714-NYPart B Step The,rec0E1CQQ9ZO26JpN
Ambulance Transportation (Commercial CA West),,Policy Database,United Healthcare,,,Commercial,CA,1,Commercial: [CA],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Hospital Services Billing->Ambulance Payment""]",https://portal.policyreporter.com/geturlupdate.php?urlid=299130&updateid=4373951,https://portal.policyreporter.com/policy-updates/299130,299130,,7/2/2024,Pending,,,8/1/2025,716162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecrJxgoM8EOJFo5D-299130-CAAmbulance Trans,recrJxgoM8EOJFo5D
"Ambulance Transportation (Commercial OK, OR, TX, WA West)",,Policy Database,United Healthcare,,,Commercial,"OK,OR,TX,WA",4,"Commercial: [OK,TX,WA,OR]",Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Hospital Services Billing->Ambulance Payment""]",https://portal.policyreporter.com/geturlupdate.php?urlid=299131&updateid=4373965,https://portal.policyreporter.com/policy-updates/299131,299131,,7/2/2024,Pending,,,8/1/2025,262075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrecFzFPVlrjBJ6QRO-299131-OKAmbulance Trans,recFzFPVlrjBJ6QRO
Immunizations/Vaccinations (Commercial CA West),,Policy Database,United Healthcare,,,Commercial,CA,1,Commercial: [CA],Reimbursement & Billing Document,"[""Payment Policies->Billing Policies->Screening and Prevention Payment->Immunization Payment""]",https://portal.policyreporter.com/geturlupdate.php?urlid=299136&updateid=4688143,https://portal.policyreporter.com/policy-updates/299136,299136,,1/1/2025,Active,1/1/2025,,1/1/2026,716162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIR_IDrechIBi33O0uVpBDy-299136-CAImmunizations/V,rechIBi33O0uVpBDy
